,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
0,Loretta Chic Bistrot,ChIJBxXlivX_0YURX5eXyeXpDG8,19.3556012,-99.18971049999999,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av. Revolución 1426, Guadalupe Inn, Ciudad de México"
1,Intervallo,ChIJ_XuuwYr_0YURZgWuPxy_jqU,19.3640809,-99.1877961,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","Sagredo 162, San José Insurgentes, Ciudad de México"
2,El Bajio,ChIJ9xpnoYr_0YURb5WP-co6D5Q,19.3608956,-99.19061269999999,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av. Revolución 1267, Guadalupe Inn, Ciudad de México"
3,Eloise Chic Cuisine,ChIJG0o4jR0A0oURK25HmlihH1M,19.3517714,-99.1907554,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av. Revolución 1521, San Ángel, Ciudad de México"
4,Taquería Ramón,ChIJtwTEvTsA0oUR40fjheeMV8E,19.3664938,-99.20464969999999,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av Centenario 279, Merced Gómez, Ciudad de México"
5,Chili's Portal San Ángel,ChIJs3dnFyAA0oURvDfd7eMwzBw,19.3608767,-99.1897242,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av. Revolución 1267, Guadalupe Inn, Ciudad de México"
6,Fiesole,ChIJh1uOjh0A0oURpMX1bluI9PY,19.3521167,-99.1905264,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av. Del Parque 2, Tlacopac, Ciudad de México"
7,Taco Inn,ChIJ2VRUefX_0YURPkWDu4MpPuM,19.3573965,-99.1895462,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av. Revolución 1366, Guadalupe Inn, Ciudad de México"
8,Magic Prime,ChIJ_9YrhIr_0YURITy_8bbMpTk,19.3624672,-99.18942299999999,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Av. Revolución 1215, Los Alpes, Ciudad de México"
9,Yurimuni,ChIJ___L8R0A0oURSDgL3dmaHok,19.3529821,-99.19053249999999,4.5,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Av. Revolución 1507, Campestre, Ciudad de México"
10,LONCHERIA La Estrella de Jalisco,ChIJi_dGDyQA0oURiGOgYtwraTY,19.365826,-99.1961838,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","Cerrada 3 de Tacubaya, Av Centenario SN, Merced Gómez, Ciudad de México"
11,Estigma,ChIJ03k9U4r_0YURqqSvdLfuRBA,19.3632832,-99.1872219,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Miguel Noreña 39, San José Insurgentes, Ciudad de México"
12,Chili's,ChIJe9mRCyAA0oURxTN2BqoKHUg,19.3608896,-99.190733,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Avenida Revolución 1267 Los Alpes, Portal, San Ángel"
13,Patronus,ChIJkdYETyEA0oURy7Dm6LBSFlc,19.3650253,-99.1945531,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","Mixcoac 21, Merced Gómez, Ciudad de México"
14,Casa de Castilla,ChIJi_5t_B0A0oURGbY2zB7yYZo,19.3535233,-99.1905227,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Av. Revolución 1465, Campestre, Ciudad de México"
